class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,zero_crossing_rate_0,rms_0
0,-536.58295,160.95763,46.777218,41.374107,8.706603,-7.715176,-11.483024,-17.207115,-9.632924,-19.125502,-13.5860405,-11.198962,-30.809381,0.30775306,0.03253314,0.17131577,0.58613956,0.17925967,0.04395238,0.10983594,0.039361402,0.024777504,0.051163193,0.36829633,0.9564147,28.27075563156162,24.956031553192272,25.284291726128597,20.830430961248712,22.79688107682432,19.173501579798256,40.66387266949755,0.029354888613861384,0.030838182
0,-512.76056,169.73343,54.401154,39.19475,12.598248,-5.646137,-9.95255,-17.193384,-15.306503,-22.600994,-18.701265,-9.161925,-21.124249,0.8687447,0.35848752,0.024095664,0.021797702,0.061483357,0.1621016,0.081314996,0.03974367,0.23509724,0.7806967,0.44895518,0.2300065,35.18932848750876,25.07396956110221,27.863863488757584,22.510156959815188,19.884106918919894,19.382741083465163,40.57674249152229,0.023525928887795276,0.03779686
0,-386.52386,182.58238,41.399773,20.678583,15.522279,-10.390014,-16.355648,-12.131772,-14.443787,-23.793636,-23.991991,-16.529179,-18.847782,0.25007614,0.03418339,0.049705476,0.29693326,0.9554801,0.29219455,0.036156543,0.056563605,0.15262753,0.045596544,0.26597136,0.77228105,37.71983781842239,26.27191968046965,30.819744948631378,29.924354882390173,27.05280803558725,25.194736977332607,36.54009772876072,0.026831533394607844,0.09787174
0,-169.71625,107.92034,-61.931915,59.6555,-5.1156297,10.381609,-7.1199603,10.231005,-9.019601,-5.069122,-4.7526684,-6.9713907,-9.495933,0.14346275,0.5175199,0.95547676,0.61384094,0.19368778,0.15065433,0.18423818,0.09323485,0.14190085,0.14789505,0.1337657,0.09221985,38.58351492795635,19.385474318508063,19.612310396725608,19.080472330415454,18.11966126318821,20.040600916216707,50.64858784427352,0.08616063928091398,0.1311401
0,-295.9739,152.9371,-52.50242,36.227985,4.451798,5.989606,5.32418,-32.9353,-9.845587,-20.417526,-28.6609,-8.997011,-14.647973,0.9500048,0.36457723,0.117749125,0.27143997,0.7785759,0.16260928,0.08787914,0.2800669,0.09261641,0.03176941,0.04918913,0.3201947,26.518186789708587,21.735010899966603,28.18464322815051,32.98182967557003,28.97735789433218,30.673950080586955,43.31421134419816,0.052417896412037035,0.1119726
0,-164.4646,131.09122,-63.06255,54.540848,-11.810637,-4.7457533,-12.469742,1.4874569,-4.7507834,-4.7739806,-9.1041975,1.8953345,-18.013386,0.44919258,0.8718729,0.40917754,0.24282368,0.23567963,0.4591841,0.17949314,0.27906024,0.64357024,0.24147429,0.09779373,0.17070508,35.964513973570725,18.536629240104645,21.62858127708459,22.646769483621824,20.442012777763278,26.455433137901956,47.82026670174563,0.10193917410714286,0.08817609
0,-178.27347,163.60252,-45.28363,59.630653,-0.9261394,-0.0022256207,-4.4619317,-0.907626,-1.0451796,-7.0466337,-8.220485,-4.607744,-16.640738,0.16729136,0.27015492,0.19193234,0.08240828,0.10121383,0.28386274,0.81376684,0.47287697,0.1443925,0.17019394,0.3563935,0.24380784,38.461537414167324,19.33512702473381,19.119819926482116,18.358719467517695,16.64039035880175,24.96150993546103,46.44578421269844,0.040981238996478875,0.16509141
0,-390.14874,110.45849,63.390926,38.674576,28.435059,18.140066,5.239144,-3.9835372,-6.3095026,-8.920157,-11.861741,-13.926691,-18.25627,0.4540437,0.9898153,0.44086275,0.1044959,0.02191418,0.02978844,0.02272842,0.0258847,0.029348986,0.022049364,0.027353493,0.14388673,43.11552337671449,27.20214267337434,26.894564814963886,26.195694520286974,21.50879921208942,20.65291581184404,31.939150926273722,0.01376953125,0.186135
0,-478.435,173.11443,36.348305,16.771168,12.345604,-2.5321655,0.3945878,0.11611494,-11.63998,-24.388676,-27.94287,-24.589085,-26.298435,0.95936894,0.41358563,0.027311051,0.028860986,0.09684621,0.3045619,0.14477322,0.028580185,0.041589126,0.11707139,0.052983005,0.24004625,36.80384220260893,27.39429529707071,28.840650822527163,29.854022239354105,23.68188284065223,18.548769775139867,42.02391497374609,0.027849014945652173,0.05423524
0,-493.28098,140.794,43.31525,31.919611,23.101746,0.67222255,-9.677803,-14.805052,-22.287283,-30.356089,-25.073198,-11.818865,-7.7810693,0.08871583,0.029496841,0.07555583,0.048411816,0.0199636,0.036717903,0.27875528,0.9765009,0.516788,0.05287745,0.055480212,0.25053933,36.718552455738184,29.52926611437536,34.58164677858869,23.590688530071198,23.67621320705749,17.980323700093155,42.01940007587153,0.024549057904411763,0.06300101
0,-341.84427,181.71956,-6.5616474,26.830112,27.176147,3.9356425,-7.7403536,-19.069525,-7.4443855,-13.888421,-14.181318,-13.264059,-29.351639,0.13827403,0.30952394,0.10373421,0.10788065,0.26782593,0.07722376,0.038243283,0.072044626,0.46941692,0.9957917,0.4171372,0.068368115,27.37430333176975,24.45508795361342,29.497996863448385,27.99894218325756,28.80709531518597,26.298360579434906,36.826584629311924,0.02725808662280702,0.14856046
0,-193.90948,134.47453,-60.699825,57.420128,-7.430072,1.2894961,-8.007649,-0.5625317,-9.460151,-10.779672,-13.134935,-0.30077937,-14.939222,0.72511667,0.2707093,0.14062265,0.16771477,0.4170536,0.934657,0.33956754,0.115871005,0.15127434,0.23897114,0.0750961,0.22018297,36.58631057434731,21.31046531348327,26.588959965239336,25.358783255597846,24.19890490392118,29.273616662179666,49.52393926886893,0.077294921875,0.09842385
0,-278.46036,101.86258,-58.688515,51.246983,-4.257988,-8.95667,-13.030508,-4.4361196,-3.1119483,-5.9478607,-8.654598,-1.6901062,-12.544869,0.35614812,0.13059503,0.14708863,0.30512103,0.10470183,0.10834064,0.2912082,0.24907383,0.15319818,0.14046256,0.32911256,0.80916876,34.855007194273114,24.547872397889932,26.168597075091643,26.392916080462047,26.83755020565585,30.282533420344926,48.11661097681589,0.0914013671875,0.08093398
0,-453.89447,157.84523,15.103131,19.968496,12.91204,-15.225119,-27.732796,-22.17927,-5.597677,-19.298471,-24.359533,-11.898883,-20.18376,0.020713827,0.029473184,0.27933708,0.9509902,0.31291512,0.04044972,0.13427737,0.49407232,0.1502016,0.09317242,0.12455509,0.04440867,30.709024207996528,28.93494186021159,32.400232901610394,30.289979815723715,28.686607468728834,24.80303962048733,39.74375784449456,0.03184244791666667,0.04945534
